Data de Referência,Ano,Nível Territorial,Cód. Munic,Município,Mesorregião,VPs,Mesos,Tipo PIB,Indicador,Valor
2002-01-01,2002,Estado,-,-,-,Santa Catarina,,Observado,PIB,302425135015.0
2003-01-01,2003,Estado,-,-,-,Santa Catarina,,Observado,PIB,310558754291.0
2004-01-01,2004,Estado,-,-,-,Santa Catarina,,Observado,PIB,331005528845.0
2005-01-01,2005,Estado,-,-,-,Santa Catarina,,Observado,PIB,341992660193.0
2006-01-01,2006,Estado,-,-,-,Santa Catarina,,Observado,PIB,348651317761.0
2007-01-01,2007,Estado,-,-,-,Santa Catarina,,Observado,PIB,369958948008.0
2008-01-01,2008,Estado,-,-,-,Santa Catarina,,Observado,PIB,377545563454.0
2009-01-01,2009,Estado,-,-,-,Santa Catarina,,Observado,PIB,374349220884.0
2010-01-01,2010,Estado,-,-,-,Santa Catarina,,Observado,PIB,399481458027.0
2011-01-01,2011,Estado,-,-,-,Santa Catarina,,Observado,PIB,414992864205.0
2012-01-01,2012,Estado,-,-,-,Santa Catarina,,Observado,PIB,420574532563.0
2013-01-01,2013,Estado,-,-,-,Santa Catarina,,Observado,PIB,435779698481.0
2014-01-01,2014,Estado,-,-,-,Santa Catarina,,Observado,PIB,445572342640.0
2015-01-01,2015,Estado,-,-,-,Santa Catarina,,Observado,PIB,430296409395.0
2016-01-01,2016,Estado,-,-,-,Santa Catarina,,Observado,PIB,421306597311.0
2017-01-01,2017,Estado,-,-,-,Santa Catarina,,Observado,PIB,439122382713.0
2018-01-01,2018,Estado,-,-,-,Santa Catarina,,Observado,PIB,461049595037.0
2019-01-01,2019,Estado,-,-,-,Santa Catarina,,Observado,PIB,478130019279.0
2020-01-01,2020,Estado,-,-,-,Santa Catarina,,Observado,PIB,466109981337.0
2021-01-01,2021,Estado,-,-,-,Santa Catarina,,Observado,PIB,505834938787.0
2022-01-01,2022,Estado,-,-,-,Santa Catarina,,Observado,PIB,510853581829.5099
2023-01-01,2023,Estado,-,-,-,Santa Catarina,,Observado,PIB,527187560295.2091
2024-01-01,2024,Estado,-,-,-,Santa Catarina,,Projeção,PIB,558906394419.1664
2025-01-01,2025,Estado,-,-,-,Santa Catarina,,Projeção,PIB,576597286126.8094
2026-01-01,2026,Estado,-,-,-,Santa Catarina,,Projeção,PIB,587827429378.0125
2027-01-01,2027,Estado,-,-,-,Santa Catarina,,Projeção,PIB,608602144157.7544
2028-01-01,2028,Estado,-,-,-,Santa Catarina,,Projeção,PIB,633109280042.0946
2029-01-01,2029,Estado,-,-,-,Santa Catarina,,Projeção,PIB,657181391824.7495
2030-01-01,2030,Estado,-,-,-,Santa Catarina,,Projeção,PIB,681473804086.1945
2002-01-01,2002,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,44641161659.0
2002-01-01,2002,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,71679771479.0
2002-01-01,2002,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,58386888974.0
2002-01-01,2002,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,302425135015.0
2002-01-01,2002,Mesorregião,,,Serrana,,Serrana,Observado,PIB,17997328376.0
2002-01-01,2002,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,35657704239.0
2002-01-01,2002,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,74062280288.0
2003-01-01,2003,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,44663933825.0
2003-01-01,2003,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,74506988461.0
2003-01-01,2003,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,60745115533.0
2003-01-01,2003,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,310558754291.0
2003-01-01,2003,Mesorregião,,,Serrana,,Serrana,Observado,PIB,18476775415.0
2003-01-01,2003,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,36089130474.0
2003-01-01,2003,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,76076810583.0
2004-01-01,2004,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,45900216764.0
2004-01-01,2004,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,81674296377.0
2004-01-01,2004,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,63889207875.0
2004-01-01,2004,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,331005528845.0
2004-01-01,2004,Mesorregião,,,Serrana,,Serrana,Observado,PIB,18531898163.0
2004-01-01,2004,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,37880751189.0
2004-01-01,2004,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,83129158477.0
2005-01-01,2005,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,49999053058.0
2005-01-01,2005,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,83486457727.0
2005-01-01,2005,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,63315382299.0
2005-01-01,2005,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,341992660193.0
2005-01-01,2005,Mesorregião,,,Serrana,,Serrana,Observado,PIB,18474905949.0
2005-01-01,2005,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,38573916915.0
2005-01-01,2005,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,88142944245.0
2006-01-01,2006,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,51820161283.0
2006-01-01,2006,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,85020987936.0
2006-01-01,2006,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,61885300490.0
2006-01-01,2006,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,348651317761.0
2006-01-01,2006,Mesorregião,,,Serrana,,Serrana,Observado,PIB,18387470767.0
2006-01-01,2006,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,39293861410.0
2006-01-01,2006,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,92243535875.0
2007-01-01,2007,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,55129774761.0
2007-01-01,2007,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,90123922352.0
2007-01-01,2007,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,67053499929.0
2007-01-01,2007,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,369958948008.0
2007-01-01,2007,Mesorregião,,,Serrana,,Serrana,Observado,PIB,19707229454.0
2007-01-01,2007,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,40398925156.0
2007-01-01,2007,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,97545596356.0
2008-01-01,2008,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,56206441575.0
2008-01-01,2008,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,91570856124.0
2008-01-01,2008,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,68518835435.0
2008-01-01,2008,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,377545563454.0
2008-01-01,2008,Mesorregião,,,Serrana,,Serrana,Observado,PIB,20550128110.0
2008-01-01,2008,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,41387362671.0
2008-01-01,2008,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,99311939539.0
2009-01-01,2009,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,56515759133.0
2009-01-01,2009,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,87999749261.0
2009-01-01,2009,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,67043193178.0
2009-01-01,2009,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,374349220884.0
2009-01-01,2009,Mesorregião,,,Serrana,,Serrana,Observado,PIB,19580333011.0
2009-01-01,2009,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,42034140547.0
2009-01-01,2009,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,101176045754.0
2010-01-01,2010,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,60398377856.0
2010-01-01,2010,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,93147022654.0
2010-01-01,2010,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,70583891491.0
2010-01-01,2010,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,399481458027.0
2010-01-01,2010,Mesorregião,,,Serrana,,Serrana,Observado,PIB,21105584980.0
2010-01-01,2010,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,43850196085.0
2010-01-01,2010,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,110396384961.0
2011-01-01,2011,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,63013835230.0
2011-01-01,2011,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,94451420213.0
2011-01-01,2011,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,75139492007.0
2011-01-01,2011,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,414992864205.0
2011-01-01,2011,Mesorregião,,,Serrana,,Serrana,Observado,PIB,20929381291.0
2011-01-01,2011,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,45522788925.0
2011-01-01,2011,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,115935946539.0
2012-01-01,2012,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,64261127705.0
2012-01-01,2012,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,94415852785.0
2012-01-01,2012,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,73454026995.0
2012-01-01,2012,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,420574532563.0
2012-01-01,2012,Mesorregião,,,Serrana,,Serrana,Observado,PIB,22889444061.0
2012-01-01,2012,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,45713721374.0
2012-01-01,2012,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,119840359643.0
2013-01-01,2013,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,66017841433.0
2013-01-01,2013,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,97445821340.0
2013-01-01,2013,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,78231022927.0
2013-01-01,2013,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,435779698481.0
2013-01-01,2013,Mesorregião,,,Serrana,,Serrana,Observado,PIB,22101173284.0
2013-01-01,2013,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,48250967892.0
2013-01-01,2013,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,123732871605.0
2014-01-01,2014,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,67940153515.0
2014-01-01,2014,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,96684105876.0
2014-01-01,2014,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,74013784945.0
2014-01-01,2014,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,445572342640.0
2014-01-01,2014,Mesorregião,,,Serrana,,Serrana,Observado,PIB,22399314582.0
2014-01-01,2014,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,50147337057.0
2014-01-01,2014,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,134387646665.0
2015-01-01,2015,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,66459363325.0
2015-01-01,2015,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,95958865766.0
2015-01-01,2015,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,71192922551.0
2015-01-01,2015,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,430296409395.0
2015-01-01,2015,Mesorregião,,,Serrana,,Serrana,Observado,PIB,22349051830.0
2015-01-01,2015,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,48857399128.0
2015-01-01,2015,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,125478806795.0
2016-01-01,2016,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,65545741079.0
2016-01-01,2016,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,89989777164.0
2016-01-01,2016,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,72123755644.0
2016-01-01,2016,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,421306597311.0
2016-01-01,2016,Mesorregião,,,Serrana,,Serrana,Observado,PIB,22712654202.0
2016-01-01,2016,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,47966906784.0
2016-01-01,2016,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,122967762438.0
2017-01-01,2017,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,66245294412.0
2017-01-01,2017,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,96180533760.0
2017-01-01,2017,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,73167778120.0
2017-01-01,2017,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,439122382713.0
2017-01-01,2017,Mesorregião,,,Serrana,,Serrana,Observado,PIB,23086796797.0
2017-01-01,2017,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,49116360426.0
2017-01-01,2017,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,131325619198.0
2018-01-01,2018,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,70006242669.0
2018-01-01,2018,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,102531493875.0
2018-01-01,2018,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,75923521052.0
2018-01-01,2018,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,461049595037.0
2018-01-01,2018,Mesorregião,,,Serrana,,Serrana,Observado,PIB,22744281327.0
2018-01-01,2018,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,51206202427.0
2018-01-01,2018,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,138637853687.0
2019-01-01,2019,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,71436460357.0
2019-01-01,2019,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,107341730822.0
2019-01-01,2019,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,79063235287.0
2019-01-01,2019,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,478130019279.0
2019-01-01,2019,Mesorregião,,,Serrana,,Serrana,Observado,PIB,23901696867.0
2019-01-01,2019,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,52491251277.0
2019-01-01,2019,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,143895644669.0
2020-01-01,2020,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,65374496885.0
2020-01-01,2020,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,104365088580.0
2020-01-01,2020,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,80360725581.0
2020-01-01,2020,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,466109981337.0
2020-01-01,2020,Mesorregião,,,Serrana,,Serrana,Observado,PIB,23181013511.0
2020-01-01,2020,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,51502385409.0
2020-01-01,2020,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,141326271371.0
2021-01-01,2021,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,67093153395.0
2021-01-01,2021,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,118002797584.0
2021-01-01,2021,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,83015777557.0
2021-01-01,2021,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,505834938787.0
2021-01-01,2021,Mesorregião,,,Serrana,,Serrana,Observado,PIB,23855260102.0
2021-01-01,2021,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,53646517430.0
2021-01-01,2021,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,160221432719.0
2022-01-01,2022,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,69146784995.90001
2022-01-01,2022,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,114463852329.56
2022-01-01,2022,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,85851955321.82999
2022-01-01,2022,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,510853581829.51
2022-01-01,2022,Mesorregião,,,Serrana,,Serrana,Observado,PIB,24225499431.28
2022-01-01,2022,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,54610616958.34
2022-01-01,2022,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,162554872792.6
2023-01-01,2023,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Observado,PIB,72856424000.0
2023-01-01,2023,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Observado,PIB,116874219330.4287
2023-01-01,2023,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Observado,PIB,88605623000.0
2023-01-01,2023,Mesorregião,,,Santa Catarina,,Santa Catarina,Observado,PIB,527187560295.2091
2023-01-01,2023,Mesorregião,,,Serrana,,Serrana,Observado,PIB,24823662000.0
2023-01-01,2023,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Observado,PIB,56433884000.0
2023-01-01,2023,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Observado,PIB,167593747964.7804
2024-01-01,2024,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Projeção,PIB,76275398110.92816
2024-01-01,2024,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Projeção,PIB,124669407488.401
2024-01-01,2024,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Projeção,PIB,92104811850.45238
2024-01-01,2024,Mesorregião,,,Santa Catarina,,Santa Catarina,Projeção,PIB,558906394419.1665
2024-01-01,2024,Mesorregião,,,Serrana,,Serrana,Projeção,PIB,25520061117.96301
2024-01-01,2024,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Projeção,PIB,58679646215.23187
2024-01-01,2024,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Projeção,PIB,181657069636.1901
2025-01-01,2025,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Projeção,PIB,77981709804.609
2025-01-01,2025,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Projeção,PIB,128658497292.7534
2025-01-01,2025,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Projeção,PIB,93871044125.41354
2025-01-01,2025,Mesorregião,,,Santa Catarina,,Santa Catarina,Projeção,PIB,576597286126.8092
2025-01-01,2025,Mesorregião,,,Serrana,,Serrana,Projeção,PIB,25940670545.04388
2025-01-01,2025,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Projeção,PIB,59973562615.98818
2025-01-01,2025,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Projeção,PIB,190171801743.0013
2026-01-01,2026,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Projeção,PIB,78906460673.69069
2026-01-01,2026,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Projeção,PIB,130946475692.6546
2026-01-01,2026,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Projeção,PIB,94851380841.94572
2026-01-01,2026,Mesorregião,,,Santa Catarina,,Santa Catarina,Projeção,PIB,587827429378.0122
2026-01-01,2026,Mesorregião,,,Serrana,,Serrana,Projeção,PIB,26237992728.51246
2026-01-01,2026,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Projeção,PIB,60837654475.17937
2026-01-01,2026,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Projeção,PIB,196047464966.0293
2027-01-01,2027,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Projeção,PIB,80862534096.2807
2027-01-01,2027,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Projeção,PIB,135816984725.8448
2027-01-01,2027,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Projeção,PIB,96857693953.6132
2027-01-01,2027,Mesorregião,,,Santa Catarina,,Santa Catarina,Projeção,PIB,608602144157.7544
2027-01-01,2027,Mesorregião,,,Serrana,,Serrana,Projeção,PIB,26699590702.73581
2027-01-01,2027,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Projeção,PIB,62289561271.09488
2027-01-01,2027,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Projeção,PIB,206075779408.1849
2028-01-01,2028,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Projeção,PIB,83168308444.2995
2028-01-01,2028,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Projeção,PIB,141700467909.8108
2028-01-01,2028,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Projeção,PIB,99199834374.43205
2028-01-01,2028,Mesorregião,,,Santa Catarina,,Santa Catarina,Projeção,PIB,633109280042.0942
2028-01-01,2028,Mesorregião,,,Serrana,,Serrana,Projeção,PIB,27216282157.65441
2028-01-01,2028,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Projeção,PIB,63945087976.8852
2028-01-01,2028,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Projeção,PIB,217879299179.0123
2029-01-01,2029,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Projeção,PIB,85349833713.25853
2029-01-01,2029,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Projeção,PIB,147517584346.5835
2029-01-01,2029,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Projeção,PIB,101408343758.7475
2029-01-01,2029,Mesorregião,,,Santa Catarina,,Santa Catarina,Projeção,PIB,657181391824.749
2029-01-01,2029,Mesorregião,,,Serrana,,Serrana,Projeção,PIB,27712963292.74632
2029-01-01,2029,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Projeção,PIB,65540229652.35498
2029-01-01,2029,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Projeção,PIB,229652437061.0582
2030-01-01,2030,Mesorregião,,,Grande Florianópolis,,Grande Florianópolis,Projeção,PIB,87478400339.95929
2030-01-01,2030,Mesorregião,,,Norte Catarinense,,Norte Catarinense,Projeção,PIB,153464871902.6181
2030-01-01,2030,Mesorregião,,,Oeste Catarinense,,Oeste Catarinense,Projeção,PIB,103554377558.09
2030-01-01,2030,Mesorregião,,,Santa Catarina,,Santa Catarina,Projeção,PIB,681473804086.1948
2030-01-01,2030,Mesorregião,,,Serrana,,Serrana,Projeção,PIB,28201029987.03497
2030-01-01,2030,Mesorregião,,,Sul Catarinense,,Sul Catarinense,Projeção,PIB,67115240061.29618
2030-01-01,2030,Mesorregião,,,Vale do Itajai,,Vale do Itajai,Projeção,PIB,241659884237.1963
2002-01-01,2002,Município,420070,Alfredo Wagner,Grande Florianópolis,Sudeste,,Observado,PIB,320721592.0
2002-01-01,2002,Município,420090,Angelina,Grande Florianópolis,Sudeste,,Observado,PIB,172167623.0
2002-01-01,2002,Município,420110,Anitápolis,Grande Florianópolis,Sudeste,,Observado,PIB,132972511.0
2002-01-01,2002,Município,420120,Antônio Carlos,Grande Florianópolis,Sudeste,,Observado,PIB,640999109.0
2002-01-01,2002,Município,420230,Biguaçu,Grande Florianópolis,Sudeste,,Observado,PIB,2087454710.0
2002-01-01,2002,Município,420370,Canelinha,Grande Florianópolis,Sudeste,,Observado,PIB,202669979.0
2002-01-01,2002,Município,420540,Florianópolis,Grande Florianópolis,Sudeste,,Observado,PIB,24186664480.0
2002-01-01,2002,Município,420600,Governador Celso Ramos,Grande Florianópolis,Sudeste,,Observado,PIB,252261981.0
2002-01-01,2002,Município,420980,Leoberto Leal,Grande Florianópolis,Vale do Itajaí Mirim,,Observado,PIB,134704401.0
2002-01-01,2002,Município,421020,Major Gercino,Grande Florianópolis,Vale do Itajaí Mirim,,Observado,PIB,91057444.0
2002-01-01,2002,Município,421150,Nova Trento,Grande Florianópolis,Vale do Itajaí Mirim,,Observado,PIB,452578366.0
2002-01-01,2002,Município,421190,Palhoça,Grande Florianópolis,Sudeste,,Observado,PIB,3157335268.0
2002-01-01,2002,Município,421230,Paulo Lopes,Grande Florianópolis,Sudeste,,Observado,PIB,270835390.0
2002-01-01,2002,Município,421430,Rancho Queimado,Grande Florianópolis,Sudeste,,Observado,PIB,137735208.0
2002-01-01,2002,Município,421570,Santo Amaro da Imperatriz,Grande Florianópolis,Sudeste,,Observado,PIB,755104012.0
2002-01-01,2002,Município,421590,São Bonifácio,Grande Florianópolis,Sudeste,,Observado,PIB,96819308.0
2002-01-01,2002,Município,421660,São José,Grande Florianópolis,Sudeste,,Observado,PIB,9407326377.0
2002-01-01,2002,Município,421630,São João Batista,Grande Florianópolis,Sudeste,,Observado,PIB,650374629.0
2002-01-01,2002,Município,421725,São Pedro de Alcântara,Grande Florianópolis,Sudeste,,Observado,PIB,89764077.0
2002-01-01,2002,Município,421800,Tijucas,Grande Florianópolis,Sudeste,,Observado,PIB,1173721792.0
2002-01-01,2002,Município,420060,Águas Mornas,Grande Florianópolis,Sudeste,,Observado,PIB,227893402.0
2002-01-01,2002,Município,420130,Araquari,Norte Catarinense,Norte-Nordeste,,Observado,PIB,630269163.0
2002-01-01,2002,Município,420205,Balneário Barra do Sul,Norte Catarinense,Norte-Nordeste,,Observado,PIB,153844005.0
2002-01-01,2002,Município,420213,Bela Vista do Toldo,Norte Catarinense,Centro-Norte,,Observado,PIB,267871194.0
2002-01-01,2002,Município,420330,Campo Alegre,Norte Catarinense,Planalto Norte,,Observado,PIB,500499538.0
2002-01-01,2002,Município,420380,Canoinhas,Norte Catarinense,Centro-Norte,,Observado,PIB,2824806850.0
2002-01-01,2002,Município,420450,Corupá,Norte Catarinense,Vale do Itapocu,,Observado,PIB,573427647.0
2002-01-01,2002,Município,420580,Garuva,Norte Catarinense,Norte-Nordeste,,Observado,PIB,513938338.0
2002-01-01,2002,Município,420650,Guaramirim,Norte Catarinense,Vale do Itapocu,,Observado,PIB,1478456708.0
2002-01-01,2002,Município,420790,Irineópolis,Norte Catarinense,Centro-Norte,,Observado,PIB,416375205.0
2002-01-01,2002,Município,420810,Itaiópolis,Norte Catarinense,Planalto Norte,,Observado,PIB,725289970.0
2002-01-01,2002,Município,420845,Itapoá,Norte Catarinense,Norte-Nordeste,,Observado,PIB,384940293.0
2002-01-01,2002,Município,420890,Jaraguá do Sul,Norte Catarinense,Vale do Itapocu,,Observado,PIB,11774103848.0
2002-01-01,2002,Município,420910,Joinville,Norte Catarinense,Norte-Nordeste,,Observado,PIB,34457321336.0
